timestamp,__name__,cluster,label_kubernetes_io_arch,label_node_openshift_io_os_id,label_node_role_kubernetes_io,prometheus,tenant_id,value
2022-04-14 14:34:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:35:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:35:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:36:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:36:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:37:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:37:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:38:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:38:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:39:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:39:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:40:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:40:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:41:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:41:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:42:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:42:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:43:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:43:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:44:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:44:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:45:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:45:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:46:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:46:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:47:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:47:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:48:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:48:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:49:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:49:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:50:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:50:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:51:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:51:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:52:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:52:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:53:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:53:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
