timestamp,__name__,cluster,label_beta_kubernetes_io_instance_type,label_kubernetes_io_arch,label_node_openshift_io_os_id,label_node_role_kubernetes_io,prometheus,tenant_id,value
1649947822.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947852.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947882.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947912.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947942.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649947972.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948002.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948032.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948062.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948092.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948122.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948152.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948182.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948212.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948242.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948272.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948302.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948332.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948362.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948392.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948422.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948452.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948482.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948512.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948542.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948572.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948602.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948632.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948662.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948692.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948722.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948752.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948782.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948812.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948842.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948872.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948902.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948932.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948962.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649948992.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
